Data;Fornecedor;NomeComercial;Categoria;LojaEntreposto;CodArtigo;DscArtigo;Ean;VPN;TipoArtigo;Marca;Coleccao;Quant;Valor;Column1
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L3570 - WLS TIRES;5152288;VICKS SINEX SENSI ALOE VERA 15ML;5011321836648;-1;Permanente;VICKS;;8;71,1;WLS TIRES
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7104 - orl;L2158 - WLS PORTELA SHOPPING;8608737;VICKS PROTEÇÃO 20ML;8006530130622;-1;Permanente;VICKS;;1;9,5;WLS PORTELA SHOPPING
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L3209 - WLS PAREDE;7637243;KUKIDENT PRO PLUS BARREIRA S/SABOR 40G K;8470001531810;-1;Permanente;KUKIDENT;;3;32,07;WLS PAREDE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L1158 - WLS RÉGUA;7407620;ZZZQUIL MELATONINA 30 GOMAS;7492595;-1;Permanente;ZZZQUIL;;6;102,78;WLS RÉGUA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L1211 - WLS LAGOS;2997726;VICKS VAPORUB POMADA 100G;5601059001298;-1;Permanente;VICKS;;7;99,96;WLS LAGOS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0793 - WLS PONTE LIMA;4670511;TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE;5013965723407;-1;Permanente;CLEARBLUE;;17;268,6;WLS PONTE LIMA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L4509 - WLS VIEIRA DE LEIRIA;8094748;ELAS 50G;8006540730607;-1;Permanente;ELAS;;1;8,79;WLS VIEIRA DE LEIRIA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L0719 - WLS CALDAS MDL;2997718;VICKS VAPORUB POMADA 50G;5601059001021;-1;Permanente;VICKS;;21;187,68;WLS CALDAS MDL
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0492 - WLS SANTO TIRSO;7479541;TESTE GRAVIDEZ DIG ULTRA ANTEC CLEARBLUE;6602797;-1;Permanente;CLEARBLUE;;6;94,8;WLS SANTO TIRSO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L1838 - WLS MONUMENTAL;6081764;TESTE GRAVIDEZ 6 DIAS CLEARBLUE;8700216570961;-1;Permanente;CLEARBLUE;;1;9,7;WLS MONUMENTAL
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L6533 - WLS BAGUIM DO MONTE;5218361;TESTE GRAVIDEZ 1 MINUTO CLEARBLUE;8700216571104;-1;Permanente;CLEARBLUE;;2;16;WLS BAGUIM DO MONTE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0673 - WLS VIVEIROS;8375717;KUKIDENT PRO SEM SABOR 70G;8700216594677;-1;Permanente;KUKIDENT;;1;14,56;WLS VIVEIROS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L0753 - WLS PONTE DE SOR;7673167;ZZZQUILL MANGA BANANA 30 GOMAS;7492611;-1;Permanente;ZZZQUIL;;2;36,06;WLS PONTE DE SOR
